Sector:,Liquid Propane Gas (LPG),,SRGC Semi Refrigerated,,,,
Input Sheet:,Fleet Data,,,,,,
Fleet:,SRGC-Semi Refrigerated Gas Carrier,,,,,,
Frequency:,Weekly (Friday),,,,,,
Quandl:,LPG_R/ETHGC,,,,,,
,,,,,,,
Conventions,,,,,,,
  Data are as of close of business on Fridays.,,,,,,,
"  Sources identify the document, site or origin where you got the data. If there are serveral of these, list them like this:  count from OneSource, dwt from AnotherSource",,,,,,,
  CBM values are the total for all vessels counted in reporting period.,,,,,,,
"  Generally these vessels are usuall carry cargo in the 10,000 CBM range.",,,,,,,
,,,,,,,
Date,Deliveries,Deliveries CBM,Demolitions,Demolitions CBM,New Orders,New Orders CBM,Sources
15-Feb-12,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated February 15, 2012"
22-Feb-12,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated February 22, 2012"
29-Feb-12,0,0,0,0,0,0,missing
7-Mar-12,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated March 7, 2012"
14-Mar-12,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated March 14, 2012"
21-Mar-12,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated March 21, 2012"
28-Mar-12,0,0,0,0,2,"9,000","Fearnley Weekly Report pdf dated March 28, 2012 (""Ethylene""Anthony Veder, 2, 4500CBM, 2014)"
4-Apr-12,0,0,0,0,0,0,missing
11-Apr-12,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated April 11, 2012"
18-Apr-12,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated April 18, 2012"
25-Apr-12,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated April 25, 2012"
2-May-12,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated May 2, 2012 "
9-May-12,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated May 9, 2012"
16-May-12,0,0,0,0,0,0,missing
23-May-12,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated May 23, 2012"
30-May-12,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated May 30, 2012 "
6-Jun-12,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated June 6, 2012"
13-Jun-12,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated June 13, 2012"
20-Jun-12,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated June 20, 2012"
27-Jun-12,0,0,0,0,3,"36,000","Fearnley Weekly Report pdf dated June 27, 2012 (""ETH"" UNIGAS 3 12000CBM 2014)"
