Sector:,Liquid Propane Gas (LPG),,Medium Semi Refrigerated,,,,
Input Sheet:,Fleet Data,,,,,,
Fleet:,MGC-Semi Refrigerated Gas Carrier,,,,,,
Frequency:,Weekly (Friday),,,,,,
,,,,,,,
,,,,,,,
Conventions,,,,,,,
  Data are as of close of business on Fridays.,,,,,,,
"  Sources identify the document, site or origin where you got the data. If there are serveral of these, list them like this:  count from OneSource, dwt from AnotherSource",,,,,,,
  CBM values are the total for all vessels counted in reporting period.,,,,,,,
"  Generally these vessels are usuall carry cargo in the 22,000 CBM range.",,,,,,,
,,,,,,,
Date,Deliveries,Deliveries CBM,Demolitions,Demolitions CBM,New Orders,New Orders CBM,Sources
1-Sep-10,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated September 1, 2010 ( Woodside Holding LPG/Ety. 8 12000 2012-2013"
8-Sep-10,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated September 8, 2010"
15-Sep-10,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated September 15, 2012"
22-Sep-10,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated September 22, 2010 ( Jaccar Holdings 8 12000 2012-2014)"
29-Sep-10,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated September 29, 2010"
6-Oct-10,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated October 6, 2010"
13-Oct-10,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated October 13, 2010"
20-Oct-10,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated October 20, 2010 ( Dem 1 GC 18200)"
27-Oct-10,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated October 27, 2010"
3-Nov-10,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated November 3, 2010"
10-Nov-10,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated November 10, 2010"
17-Nov-10,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated November 17, 2010"
24-Nov-10,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated November 24, 2010 ( Dem 1 GAS 63254) "
1-Dec-10,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated December 1, 2010"
8-Dec-10,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated December 8, 2010 "
15-Dec-10,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated December 15, 2010"
22-Dec-10,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated December 22, 2010"
29-Dec-10,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated December 29, 2010"
5-Jan-11,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated January 5, 2011"
12-Jan-11,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated January 12, 2011"
19-Jan-11,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated January 19, 2011"
26-Jan-11,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated January 26, 2011"
2-Feb-11,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated February 2, 2011 (Dem 1 LPG 46316"
9-Feb-11,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated February 9, 2011 ( SlomanNeptun 1 6500 2012, Othello 1 6500 2012, Schulte 1 6500 2013)"
16-Feb-11,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated February 16, 2011"
23-Feb-11,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated February 23, 2011"
2-Mar-11,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated March 2, 2011"
9-Mar-11,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated March 9, 2011 (Dem 1 LPG 55173)"
16-Mar-11,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated March 16, 2011"
23-Mar-11,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated March 23, 2011"
30-Mar-11,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated March 30, 2011 ( 1 dem 6600 LPG) "
6-Apr-11,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated April 6, 2011 (Unigas 3 8500 2013 LPG) "
13-Apr-11,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated April 13, 2011"
20-Apr-11,0,0,0,0,0,0,missing
