Sector:,Liquid Propane Gas (LPG),,SGC-SR Small Gas Carriers,,,,
Input Sheet:,Fleet Data,,,,,,
Fleet:,SGC-Semi Refrigerated Gas Carrier,,,,,,
Frequency:,Weekly (Friday),,,,,,
Quandl:,LPG_R/SGC_SR,,,,,,
,,,,,,,
Conventions,,,,,,,
  Data are as of close of business on Fridays.,,,,,,,
"  Sources identify the document, site or origin where you got the data. If there are serveral of these, list them like this:  count from OneSource, dwt from AnotherSource",,,,,,,
  CBM values are the total for all vessels counted in reporting period.,,,,,,,
"  Generally these vessels are usuall carry cargo in the 6,000 CBM range.",,,,,,,
,,,,,,,
Date,Deliveries,Deliveries CBM,Demolitions,Demolitions CBM,New Orders,New Orders CBM,Sources
30-May-07,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated May 30, 2007 ( Prime 1 LPG 35000 2010) "
6-Jun-07,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated June 6, 2007"
13-Jun-07,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated June 13, 2007 (Demolition 2 LPGs 54200, 38100)"
20-Jun-07,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated June 20, 2007"
27-Jun-07,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated June 27, 2007"
4-Jul-07,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated July 4, 2007"
11-Jul-07,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated July 11, 2007"
18-Jul-07,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated July 18, 2007 ( Eitzen Group 6LPG 2500 2011)"
25-Jul-07,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated July 25, 2007 (Naftomar 22500 1 LPG 2010)"
1-Aug-07,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated August 1, 2007"
8-Aug-07,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated August 8, 2007"
15-Aug-07,0,0,0,0,4,"48,000","Fearnley Weekly Report pdf dated August 15, 2007 (NorgasCarriers 4LNG/LPG 12000 2008) (Demolition 2Gas 47723, 46723)"
22-Aug-07,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated August 22, 2007"
29-Aug-07,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated August 29, 2007"
5-Sep-07,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated September 5, 2007"
12-Sep-07,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated September 12, 2007"
19-Sep-07,0,0,0,0,2,"12,000","Fearnley Weekly Report pdf dated September 19, 2007 (Hartmann 2 LPG 6000 2010)"
26-Sep-07,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated September 26, 2007"
3-Oct-07,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated October 3, 2007"
10-Oct-07,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated October 10, 2007"
17-Oct-07,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated October 17, 2007"
24-Oct-07,0,0,0,0,10,"182,000","Fearnley Weekly Report pdf dated October 24, 2007 (Rickmers Reederi 4 GC 17000dwt 2009/2011 6GC 19000dwt 2010/2011 / Mediterranea di Navigazone 4LPG 4500 2009 / Zodiac 1 LPG 80000 2011)"
31-Oct-07,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated October 31, 2007"
