Quandl Code|Date|Value
VLCC_TD3_DBBL|2001-Aug-01|0.87
VLCC_TD3_DBBL|2001-Aug-02|0.87
VLCC_TD3_DBBL|2001-Aug-03|0.87
VLCC_TD3_DBBL|2001-Aug-06|0.87
VLCC_TD3_DBBL|2001-Aug-07|0.87
VLCC_TD3_DBBL|2001-Aug-08|0.82
VLCC_TD3_DBBL|2001-Aug-09|0.77
VLCC_TD3_DBBL|2001-Aug-10|0.74
VLCC_TD3_DBBL|2001-Aug-13|0.69
VLCC_TD3_DBBL|2001-Aug-14|0.69
VLCC_TD3_DBBL|2001-Aug-15|0.69
VLCC_TD3_DBBL|2001-Aug-16|0.69
VLCC_TD3_DBBL|2001-Aug-17|0.72
VLCC_TD3_DBBL|2001-Aug-20|0.87
VLCC_TD3_DBBL|2001-Aug-21|0.93
VLCC_TD3_DBBL|2001-Aug-22|0.98
VLCC_TD3_DBBL|2001-Aug-23|1.01
VLCC_TD3_DBBL|2001-Aug-24|1.06
VLCC_TD3_DBBL|2001-Aug-28|1.04
VLCC_TD3_DBBL|2001-Aug-29|1.04
VLCC_TD3_DBBL|2001-Aug-30|1.04
VLCC_TD3_DBBL|2001-Aug-31|1.03
VLCC_TD3_DBBL|2001-Sep-03|1.03
VLCC_TD3_DBBL|2001-Sep-04|1.03
VLCC_TD3_DBBL|2001-Sep-05|1.03
VLCC_TD3_DBBL|2001-Sep-06|1.03
VLCC_TD3_DBBL|2001-Sep-07|1.01
VLCC_TD3_DBBL|2001-Sep-10|1.03
VLCC_TD3_DBBL|2001-Sep-11|1.19
VLCC_TD3_DBBL|2001-Sep-12|1.23
VLCC_TD3_DBBL|2001-Sep-13|1.31
VLCC_TD3_DBBL|2001-Sep-14|1.41
VLCC_TD3_DBBL|2001-Sep-17|1.4
VLCC_TD3_DBBL|2001-Sep-18|1.36
VLCC_TD3_DBBL|2001-Sep-19|1.36
VLCC_TD3_DBBL|2001-Sep-20|1.48
VLCC_TD3_DBBL|2001-Sep-21|1.53
VLCC_TD3_DBBL|2001-Sep-24|1.53
VLCC_TD3_DBBL|2001-Sep-25|1.53
VLCC_TD3_DBBL|2001-Sep-26|1.51
VLCC_TD3_DBBL|2001-Sep-27|1.5
VLCC_TD3_DBBL|2001-Sep-28|1.5
VLCC_TD3_DBBL|2001-Oct-01|1.46
VLCC_TD3_DBBL|2001-Oct-02|1.46
VLCC_TD3_DBBL|2001-Oct-03|1.45
VLCC_TD3_DBBL|2001-Oct-04|1.41
VLCC_TD3_DBBL|2001-Oct-05|1.4
VLCC_TD3_DBBL|2001-Oct-08|1.31
VLCC_TD3_DBBL|2001-Oct-09|1.28
VLCC_TD3_DBBL|2001-Oct-10|1.26
VLCC_TD3_DBBL|2001-Oct-11|1.25
VLCC_TD3_DBBL|2001-Oct-12|1.23
VLCC_TD3_DBBL|2001-Oct-15|1.16
VLCC_TD3_DBBL|2001-Oct-16|1.11
VLCC_TD3_DBBL|2001-Oct-17|1.01
VLCC_TD3_DBBL|2001-Oct-18|0.94
VLCC_TD3_DBBL|2001-Oct-19|0.91
VLCC_TD3_DBBL|2001-Oct-22|0.87
VLCC_TD3_DBBL|2001-Oct-23|0.81
VLCC_TD3_DBBL|2001-Oct-24|0.77
VLCC_TD3_DBBL|2001-Oct-25|0.72
VLCC_TD3_DBBL|2001-Oct-26|0.71
VLCC_TD3_DBBL|2001-Oct-29|0.71
VLCC_TD3_DBBL|2001-Oct-30|0.69
VLCC_TD3_DBBL|2001-Oct-31|0.67
VLCC_TD3_DBBL|2001-Nov-01|0.67
VLCC_TD3_DBBL|2001-Nov-02|0.67
VLCC_TD3_DBBL|2001-Nov-05|0.64
VLCC_TD3_DBBL|2001-Nov-06|0.62
VLCC_TD3_DBBL|2001-Nov-07|0.61
VLCC_TD3_DBBL|2001-Nov-08|0.61
VLCC_TD3_DBBL|2001-Nov-09|0.61
VLCC_TD3_DBBL|2001-Nov-12|0.61
VLCC_TD3_DBBL|2001-Nov-13|0.59
VLCC_TD3_DBBL|2001-Nov-14|0.59
VLCC_TD3_DBBL|2001-Nov-15|0.56
VLCC_TD3_DBBL|2001-Nov-16|0.56
VLCC_TD3_DBBL|2001-Nov-19|0.54
VLCC_TD3_DBBL|2001-Nov-20|0.54
VLCC_TD3_DBBL|2001-Nov-21|0.57
VLCC_TD3_DBBL|2001-Nov-22|0.56
VLCC_TD3_DBBL|2001-Nov-23|0.57
VLCC_TD3_DBBL|2001-Nov-26|0.57
VLCC_TD3_DBBL|2001-Nov-27|0.56
VLCC_TD3_DBBL|2001-Nov-28|0.57
VLCC_TD3_DBBL|2001-Nov-29|0.66
VLCC_TD3_DBBL|2001-Nov-30|0.69
VLCC_TD3_DBBL|2001-Dec-03|0.67
VLCC_TD3_DBBL|2001-Dec-04|0.67
VLCC_TD3_DBBL|2001-Dec-05|0.67
VLCC_TD3_DBBL|2001-Dec-06|0.66
VLCC_TD3_DBBL|2001-Dec-07|0.66
VLCC_TD3_DBBL|2001-Dec-10|0.66
VLCC_TD3_DBBL|2001-Dec-11|0.66
VLCC_TD3_DBBL|2001-Dec-12|0.69
VLCC_TD3_DBBL|2001-Dec-13|0.71
VLCC_TD3_DBBL|2001-Dec-14|0.69
VLCC_TD3_DBBL|2001-Dec-17|0.66
VLCC_TD3_DBBL|2001-Dec-18|0.66
VLCC_TD3_DBBL|2001-Dec-19|0.64
VLCC_TD3_DBBL|2001-Dec-20|0.64
VLCC_TD3_DBBL|2001-Dec-21|0.62
VLCC_TD3_DBBL|2001-Dec-27|0.62
VLCC_TD3_DBBL|2001-Dec-28|0.64
VLCC_TD3_DBBL|2002-Jan-02|0.61
VLCC_TD3_DBBL|2002-Jan-03|0.61
VLCC_TD3_DBBL|2002-Jan-04|0.59
VLCC_TD3_DBBL|2002-Jan-07|0.59
VLCC_TD3_DBBL|2002-Jan-08|0.57
VLCC_TD3_DBBL|2002-Jan-09|0.57
VLCC_TD3_DBBL|2002-Jan-10|0.62
VLCC_TD3_DBBL|2002-Jan-11|0.76
VLCC_TD3_DBBL|2002-Jan-14|0.79
VLCC_TD3_DBBL|2002-Jan-15|0.77
VLCC_TD3_DBBL|2002-Jan-16|0.8
VLCC_TD3_DBBL|2002-Jan-17|0.82
VLCC_TD3_DBBL|2002-Jan-18|0.82
VLCC_TD3_DBBL|2002-Jan-21|0.82
VLCC_TD3_DBBL|2002-Jan-22|0.82
VLCC_TD3_DBBL|2002-Jan-23|0.84
