Date,TCE
2002-Oct-25,"46,938"
2002-Oct-28,"45,664"
2002-Oct-29,"35,865"
2002-Oct-30,"34,590"
2002-Oct-31,"32,004"
2002-Nov-01,"28,762"
2002-Nov-04,"26,831"
2002-Nov-05,"24,900"
2002-Nov-06,"24,281"
2002-Nov-07,"27,596"
2002-Nov-08,"27,632"
2002-Nov-11,"27,669"
2002-Nov-12,"30,328"
2002-Nov-13,"31,020"
2002-Nov-14,"36,957"
2002-Nov-15,"43,988"
2002-Nov-18,"44,643"
2002-Nov-19,"51,856"
2002-Nov-20,"63,658"
2002-Nov-21,"62,346"
2002-Nov-22,"60,379"
2002-Nov-25,"59,068"
2002-Nov-26,"57,757"
2002-Nov-27,"51,200"
2002-Nov-28,"50,472"
2002-Nov-29,"51,710"
2002-Dec-02,"49,015"
2002-Dec-03,"48,286"
2002-Dec-04,"52,147"
2002-Dec-05,"60,598"
2002-Dec-06,"63,148"
2002-Dec-09,"63,731"
2002-Dec-10,"68,248"
2002-Dec-11,"70,142"
2002-Dec-12,"69,414"
2002-Dec-13,"71,964"
2002-Dec-16,"73,858"
2002-Dec-17,"75,752"
2002-Dec-18,"75,680"
2002-Dec-19,"73,640"
2002-Dec-20,"64,388"
2002-Dec-23,"57,102"
2002-Dec-24,"55,718"
2003-Jan-02,"49,497"
2003-Jan-03,"50,718"
2003-Jan-06,"51,293"
2003-Jan-07,"60,927"
2003-Jan-08,"66,679"
2003-Jan-09,"75,666"
2003-Jan-10,"87,242"
2003-Jan-13,"87,816"
2003-Jan-14,"87,744"
2003-Jan-15,"88,965"
2003-Jan-16,"88,245"
2003-Jan-17,"87,525"
2003-Jan-20,"87,453"
2003-Jan-21,"86,733"
2003-Jan-22,"85,366"
2003-Jan-23,"83,998"
2003-Jan-24,"83,279"
2003-Jan-27,"80,617"
2003-Jan-28,"80,544"
2003-Jan-29,"79,177"
2003-Jan-30,"74,575"
2003-Jan-31,"68,677"
2003-Feb-03,"57,029"
2003-Feb-04,"54,942"
2003-Feb-05,"53,502"
2003-Feb-06,"48,826"
2003-Feb-07,"31,208"
2003-Feb-10,"29,768"
2003-Feb-11,"29,622"
2003-Feb-12,"41,126"
2003-Feb-13,"59,100"
2003-Feb-14,"70,894"
2003-Feb-17,"72,981"
2003-Feb-18,"72,480"
2003-Feb-19,"70,037"
2003-Feb-20,"63,711"
2003-Feb-21,"61,268"
2003-Feb-24,"58,825"
2003-Feb-25,"52,499"
2003-Feb-26,"45,526"
2003-Feb-27,"30,787"
2003-Feb-28,"46,464"
2003-Mar-03,"53,728"
2003-Mar-04,"55,168"
2003-Mar-05,"54,666"
2003-Mar-06,"59,989"
2003-Mar-07,"82,138"
2003-Mar-10,"85,519"
2003-Mar-11,"84,370"
2003-Mar-12,"89,046"
2003-Mar-13,"89,191"
2003-Mar-14,"90,595"
2003-Mar-17,"88,115"
2003-Mar-18,"85,636"
2003-Mar-19,"81,215"
2003-Mar-20,"63,851"
2003-Mar-21,"55,547"
2003-Mar-24,"57,598"
2003-Mar-25,"66,767"
2003-Mar-26,"72,054"
2003-Mar-27,"72,163"
2003-Mar-28,"74,213"
2003-Mar-31,"73,675"
2003-Apr-01,"73,137"
2003-Apr-02,"68,069"
2003-Apr-03,"63,001"
2003-Apr-04,"57,933"
2003-Apr-07,"48,226"
2003-Apr-08,"46,285"
2003-Apr-09,"39,166"
2003-Apr-10,"44,125"
2003-Apr-11,"46,568"
2003-Apr-14,"49,011"
2003-Apr-15,"49,658"
2003-Apr-16,"49,658"
2003-Apr-17,"47,069"
2003-Apr-22,"35,348"
2003-Apr-23,"32,687"
2003-Apr-24,"33,261"
2003-Apr-25,"32,541"
2003-Apr-28,"29,233"
2003-Apr-29,"23,335"
2003-Apr-30,"18,085"
2003-May-01,"17,438"
2003-May-02,"15,497"
2003-May-06,"14,203"
2003-May-07,"23,263"
2003-May-08,"36,853"
2003-May-09,"52,384"
2003-May-12,"55,620"
2003-May-13,"60,005"
2003-May-14,"58,710"
2003-May-15,"56,049"
2003-May-16,"56,623"
2003-May-19,"55,976"
2003-May-20,"43,033"
2003-May-21,"35,915"
2003-May-22,"28,149"
2003-May-23,"33,973"
2003-May-27,"43,680"
2003-May-28,"47,563"
2003-May-29,"45,622"
2003-May-30,"42,386"
2003-Jun-02,"37,856"
2003-Jun-03,"38,503"
2003-Jun-04,"39,150"
2003-Jun-05,"38,503"
2003-Jun-06,"38,503"
2003-Jun-09,"37,209"
2003-Jun-10,"37,209"
2003-Jun-11,"36,562"
2003-Jun-12,"37,209"
